distance,seed,n_requested,n_selected,shortfall,hardcut_target_met,clusters_covered,temporal_std,temporal_range,spatial_mean_km,spatial_min_km,wwi_percent,selected_indices_json
28.5,42,34,34,0,True,8,10.17515936448622,40.0,514.687130137227,42.68917182008416,29.411764705882355,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281]"
28.5,43,34,34,0,True,8,10.17515936448622,40.0,514.687130137227,42.68917182008416,29.411764705882355,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281]"
28.5,44,34,34,0,True,8,10.17515936448622,40.0,514.687130137227,42.68917182008416,29.411764705882355,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281]"
28.5,45,34,34,0,True,8,10.17515936448622,40.0,514.687130137227,42.68917182008416,29.411764705882355,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281]"
28.5,46,34,34,0,True,8,10.17515936448622,40.0,514.687130137227,42.68917182008416,29.411764705882355,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281]"
40.0,42,34,34,0,True,8,10.17515936448622,40.0,514.687130137227,42.68917182008416,29.411764705882355,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281]"
40.0,43,34,34,0,True,8,10.17515936448622,40.0,514.687130137227,42.68917182008416,29.411764705882355,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281]"
40.0,44,34,34,0,True,8,10.17515936448622,40.0,514.687130137227,42.68917182008416,29.411764705882355,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281]"
40.0,45,34,34,0,True,8,10.17515936448622,40.0,514.687130137227,42.68917182008416,29.411764705882355,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281]"
40.0,46,34,34,0,True,8,10.17515936448622,40.0,514.687130137227,42.68917182008416,29.411764705882355,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281]"
45.0,42,34,34,0,True,7,10.14458752101235,40.0,508.6592942416226,59.03974169771292,26.47058823529412,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 46, 181, 454, 628, 606, 51, 486, 255, 448, 276, 47, 136]"
45.0,43,34,34,0,True,7,10.14458752101235,40.0,508.6592942416226,59.03974169771292,26.47058823529412,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 46, 181, 454, 628, 606, 51, 486, 255, 448, 276, 47, 136]"
45.0,44,34,34,0,True,8,10.14458752101235,40.0,508.6592942416226,59.03974169771292,26.47058823529412,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 46, 181, 454, 628, 606, 51, 486, 255, 448, 276, 47, 136]"
45.0,45,34,34,0,True,8,10.14458752101235,40.0,508.6592942416226,59.03974169771292,26.47058823529412,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 46, 181, 454, 628, 606, 51, 486, 255, 448, 276, 47, 136]"
45.0,46,34,34,0,True,7,10.14458752101235,40.0,508.6592942416226,59.03974169771292,26.47058823529412,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 46, 181, 454, 628, 606, 51, 486, 255, 448, 276, 47, 136]"
